Match ID,Player Name,Position ID,Start From,End To,From Period,To Period,Start Reason,End Reason
15946,Philippe Coutinho Correia,15,45:00,45:00,2,2,Tactical Shift,Substitution - On (Tactical)
15946,Philippe Coutinho Correia,2,45:00,76:14,2,2,Substitution - On (Tactical),Tactical Shift
15946,Philippe Coutinho Correia,21,76:14,,2,,Tactical Shift,Final Whistle
15946,Sergio Busquets i Burgos,9,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,Sergio Busquets i Burgos,10,45:00,84:13,2,2,Tactical Shift,Substitution - Off (Tactical)
15946,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
15946,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
15946,Luis Alberto Suárez Díaz,22,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,Luis Alberto Suárez Díaz,23,45:00,,2,,Tactical Shift,Final Whistle
15946,Ivan Rakitić,11,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,Ivan Rakitić,13,45:00,84:15,2,2,Tactical Shift,Tactical Shift
15946,Ivan Rakitić,10,84:15,,2,,Tactical Shift,Final Whistle
15946,Ousmane Dembélé,16,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,Ousmane Dembélé,21,45:00,76:12,2,2,Tactical Shift,Substitution - Off (Tactical)
15946,Samuel Yves Umtiti,5,00:00,,1,,Starting XI,Final Whistle
15946,Lionel Andrés Messi Cuccittini,24,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,Lionel Andrés Messi Cuccittini,17,45:00,,2,,Tactical Shift,Final Whistle
15946,Nélson Cabral Semedo,2,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
15946,Sergi Roberto Carnicer,12,00:00,45:00,1,2,Starting XI,Tactical Shift
15946,Sergi Roberto Carnicer,2,45:00,,2,,Tactical Shift,Final Whistle
15946,Arturo Erasmo Vidal Pardo,10,84:13,84:15,2,2,Substitution - On (Tactical),Tactical Shift
15946,Arturo Erasmo Vidal Pardo,13,84:15,,2,,Tactical Shift,Final Whistle
15946,Arthur Henrique Ramos de Oliveira Melo,21,76:12,76:14,2,2,Substitution - On (Tactical),Tactical Shift
15946,Arthur Henrique Ramos de Oliveira Melo,15,76:14,,2,,Tactical Shift,Final Whistle
15946,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
15946,Borja González Tomás,16,67:52,67:53,2,2,Substitution - On (Tactical),Tactical Shift
15946,Borja González Tomás,22,67:53,,2,,Tactical Shift,Final Whistle
