Manager ID,Manager Name,Manager Nickname,Manager DOB,Manager Country
84,Asier Garitano Aguirrezábal,Asier Garitano,1969-12-06,Spain
227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,Spain
681,Mauricio Pellegrino,,1971-10-05,Argentina
234,Pablo Javier Machín Díez,Pablo Machín,1975-04-07,Spain
230,Diego Pablo Simeone,Diego Simeone,1970-04-28,Argentina
677,Joan Francesc Ferrer Sicilia,Rubí,1970-02-05,Spain
280,José Miguel Azevedo Cardoso,Miguel Cardoso,1972-05-28,Portugal
228,José Bordalás Jiménez,Pepe Bordalás,1964-03-05,Spain
576,Sergio González Soriano,Sergio,1976-11-10,Spain
238,Enrique Setién Solar,Quique Setién,1958-09-27,Spain
767,Gaizka Garitano Aguirre,Gaizka Garitano,1975-07-09,Spain
85,Imanol Alguacil Barrenetxea,Imanol Alguacil,1971-07-04,Spain
187,Abelardo Fernández Antuña,Abelardo,1970-04-19,Spain
211,Marcelino García Toral,Marcelino,1965-08-14,Spain
219,Francisco José López Fernández,Paco López,1967-09-19,Spain
182,Javier Calleja Revilla,Javi Calleja,1978-05-12,Spain
229,Eusebio Sacristán Mena,Eusebio Sacristán,1964-04-13,Spain
768,Leonardo Neoren Franco,Leo Franco,1977-05-20,Argentina
221,José Luis Mendilibar Etxebarria,José Luis Mendilibar,1961-03-14,Spain
766,Miguel Ángel Sánchez Muñoz,Míchel,1975-10-30,Spain
4268,José Ignacio Fernández García,Nacho Fernández,1973-05-05,Spain
385,Manuel Eduardo Berizzo,Eduardo Berizzo,1969-11-13,Argentina
25,Santiago Hernán Solari Poggio,Santiago Solari,1976-10-07,Argentina
3196,Javier Aguirre Onaindía,Javier Aguirre,1958-12-01,Mexico
430,Óscar García Junyent,Óscar García,1973-04-26,Spain
56,Zinédine Zidane,,1972-06-23,France
1603,Vicente Moreno Peris,Vicente Moreno,1974-10-26,Spain
3580,Albert Celades López,Albert Celades,1975-09-29,Spain
1592,Jagoba Arrasate Elustondo,Jagoba Arrasate,1978-04-22,Spain
2,Juan Ramón López Muñiz,Juan Muñiz,1968-11-02,Spain
4978,Francisco Joaquín Pérez Rufete,Francisco Rufete,1976-11-20,Spain
741,Julen Lopetegui Argote,Julen Lopetegui,1966-08-28,Spain
1597,Diego Martínez Penas,,1980-12-16,Spain
676,Ronald Koeman,,1963-03-21,Netherlands
2886,Eduardo Germán Coudet,Eduardo Coudet,1974-09-12,Argentina
733,Manuel Luis Pellegrini Ripamonti,Manuel Pellegrini,1953-09-16,Chile
21,Unai Emery Etxegoien,Unai Emery,1971-11-03,Spain
188,Javier Gracia Carlos,Javi Gracia,1970-05-01,Spain
1605,Juan José Rojo Martín,Pacheta,1968-03-23,Spain
1598,Álvaro Cervera Díaz,Álvaro Cervera,1965-09-20,Spain
509,Francisco Escriba Segura,Fran Escribá,1965-05-03,Spain
3602,Dave Jones,,1956-08-17,England
577,Arsène Wenger,,1949-10-22,France
790,Alex Ferguson,,1941-12-31,Scotland
2974,Micky Adams,,1961-11-08,England
3407,Alan Curbishley,,1957-11-08,England
40,Steve McClaren,,1961-05-03,England
3643,Peter Reid,,1956-06-20,England
60,Claudio Ranieri,,1951-10-20,Italy
3548,Graeme Souness,,1953-05-06,Scotland
6094,David O''Leary,,1958-05-02,Ireland
3404,Bobby Robson,,1933-02-18,England
4202,Kevin Joseph Keegan,Kevin Keegan,1951-02-14,England
37,Steve Bruce,,1960-12-31,England
749,Harry Redknapp,,1947-03-02,England
3533,David Pleat,,1945-01-15,England
3722,Gordon Strachan,,1957-02-09,Scotland
86,David Moyes,,1963-04-25,Scotland
403,Chris Coleman,Óscar Pareja,1970-06-10,Wales
3029,Eddie Gray,,1948-01-17,Scotland
561,Sam Allardyce,,1954-10-19,England
