Match ID,Competition ID,Season Id,Season Name,Match Date,Kick Off Time,Home Team Name,Away Team Name,Home Score,Away Score,Match Week,Competition Stage,Stadium ID,Referee ID
15978,11,4,2018/2019,2018-09-15,16:15:00.000,Real Sociedad,Barcelona,1,2,4,Regular Season,5043,2728
15998,11,4,2018/2019,2018-09-26,20:00:00.000,Leganés,Barcelona,2,1,6,Regular Season,355,221
16029,11,4,2018/2019,2018-10-20,20:45:00.000,Barcelona,Sevilla,4,2,9,Regular Season,342,
16073,11,4,2018/2019,2018-11-24,20:45:00.000,Atlético Madrid,Barcelona,1,1,13,Regular Season,4654,183
16086,11,4,2018/2019,2018-12-08,20:45:00.000,Espanyol,Barcelona,0,4,15,Regular Season,351,
16190,11,4,2018/2019,2019-02-23,16:15:00.000,Sevilla,Barcelona,2,4,25,Regular Season,349,180
16109,11,4,2018/2019,2018-12-22,18:30:00.000,Barcelona,Celta Vigo,2,0,17,Regular Season,342,2419
16120,11,4,2018/2019,2019-01-06,20:45:00.000,Getafe,Barcelona,1,2,18,Regular Season,354,
16182,11,4,2018/2019,2019-02-16,20:45:00.000,Barcelona,Real Valladolid,1,0,24,Regular Season,342,
16215,11,4,2018/2019,2019-03-17,20:45:00.000,Real Betis,Barcelona,1,4,28,Regular Season,352,
16173,11,4,2018/2019,2019-02-10,20:45:00.000,Athletic Club,Barcelona,0,0,23,Regular Season,345,2728
16265,11,4,2018/2019,2019-04-20,20:45:00.000,Barcelona,Real Sociedad,2,1,33,Regular Season,342,
15946,11,4,2018/2019,2018-08-18,22:15:00.000,Barcelona,Deportivo Alavés,3,0,1,Regular Season,342,2625
16157,11,4,2018/2019,2019-02-02,18:30:00.000,Barcelona,Valencia,2,2,22,Regular Season,342,221
16136,11,4,2018/2019,2019-01-20,20:45:00.000,Barcelona,Leganés,3,1,20,Regular Season,342,2602
16248,11,4,2018/2019,2019-04-06,20:45:00.000,Barcelona,Atlético Madrid,2,0,31,Regular Season,342,183
16056,11,4,2018/2019,2018-11-11,16:15:00.000,Barcelona,Real Betis,3,4,12,Regular Season,342,180
16289,11,4,2018/2019,2019-04-27,20:45:00.000,Barcelona,Levante UD,1,0,35,Regular Season,342,2602
16079,11,4,2018/2019,2018-12-02,18:30:00.000,Barcelona,Villarreal,2,0,14,Regular Season,342,2609
16149,11,4,2018/2019,2019-01-27,16:15:00.000,Girona,Barcelona,0,2,21,Regular Season,343,2493
16275,11,4,2018/2019,2019-04-23,21:30:00.000,Deportivo Alavés,Barcelona,0,2,34,Regular Season,348,
15973,11,4,2018/2019,2018-09-02,18:30:00.000,Barcelona,Huesca,8,2,3,Regular Season,342,2692
16317,11,4,2018/2019,2019-05-19,16:15:00.000,Eibar,Barcelona,2,2,38,Regular Season,347,
16131,11,4,2018/2019,2019-01-13,18:30:00.000,Barcelona,Eibar,3,0,19,Regular Season,342,183
16205,11,4,2018/2019,2019-03-09,18:30:00.000,Barcelona,Rayo Vallecano,3,1,27,Regular Season,342,
16095,11,4,2018/2019,2018-12-16,20:45:00.000,Levante UD,Barcelona,0,5,16,Regular Season,350,211
16306,11,4,2018/2019,2019-05-12,18:30:00.000,Barcelona,Getafe,2,0,37,Regular Season,342,211
