Player ID,Player Name,Position ID,Jersey Number,Team Name,Country Name
3109,Malcom Filipe Silva de Oliveira,,14,Barcelona,Brazil
3501,Philippe Coutinho Correia,,7,Barcelona,Brazil
5203,Sergio Busquets i Burgos,,5,Barcelona,Spain
5211,Jordi Alba Ramos,,18,Barcelona,Spain
5213,Gerard Piqué Bernabéu,,3,Barcelona,Spain
5246,Luis Alberto Suárez Díaz,,9,Barcelona,Uruguay
5470,Ivan Rakitić,,4,Barcelona,Croatia
5477,Ousmane Dembélé,,11,Barcelona,France
5492,Samuel Yves Umtiti,,23,Barcelona,France
5503,Lionel Andrés Messi Cuccittini,,10,Barcelona,Argentina
6374,Nélson Cabral Semedo,,2,Barcelona,Portugal
6379,Sergi Roberto Carnicer,,20,Barcelona,Spain
6826,Clément Lenglet,,15,Barcelona,France
6998,Rafael Alcântara do Nascimento,,12,Barcelona,Brazil
8206,Arturo Erasmo Vidal Pardo,,22,Barcelona,Chile
8652,Jasper Cillessen,,13,Barcelona,Netherlands
11392,Arthur Henrique Ramos de Oliveira Melo,,8,Barcelona,Brazil
20055,Marc-André ter Stegen,,1,Barcelona,Germany
6566,Borja González Tomás,,18,Deportivo Alavés,Spain
6581,Jonathan Rodríguez Menéndez,,23,Deportivo Alavés,Spain
6612,Rubén Duarte Sánchez,,3,Deportivo Alavés,Spain
6613,Rubén Sobrino Pozuelo,,7,Deportivo Alavés,Spain
6615,Víctor Laguardia Cisneros,,5,Deportivo Alavés,Spain
6617,Ibai Gómez Pérez,,11,Deportivo Alavés,Spain
6618,Martín Aguirregabiria Padilla,,21,Deportivo Alavés,Spain
6624,Jorge Franco Alviz,,14,Deportivo Alavés,Spain
6626,Mubarak Wakaso,,22,Deportivo Alavés,Ghana
6629,Fernando Pacheco Flores,,1,Deportivo Alavés,Spain
6632,Manuel Alejandro García Sánchez,,19,Deportivo Alavés,Spain
6839,Daniel Alejandro Torres Rojas,,16,Deportivo Alavés,Colombia
6855,Guillermo Alfonso Maripán Loaysa,,6,Deportivo Alavés,Chile
6923,Joaquín Navarro Jiménez,,15,Deportivo Alavés,Spain
6935,Adrián Marín Gómez,,17,Deportivo Alavés,Spain
9748,Antonio Sivera Salvá,,13,Deportivo Alavés,Spain
12190,Patrick Twumasi,,24,Deportivo Alavés,Ghana
50547,Antonio Perera Calderón,,27,Deportivo Alavés,Spain
6616,Munir El Haddadi Mohamed,,19,Barcelona,Morocco
35404,Jokin Ezkieta Mendiburu,,31,Barcelona,Spain
6742,Sergio Gontán Gallardo,,24,Real Valladolid,Spain
6760,Enes Ünal,,9,Real Valladolid,Turkey
7699,Daniele Verde,,11,Real Valladolid,Italy
8419,Duje Čop,,20,Real Valladolid,Croatia
11291,Laureano Antonio Villa Suárez,,19,Real Valladolid,Spain
11293,Fernando Calero Villa,,5,Real Valladolid,Spain
11294,Borja Fernández Fernández,,8,Real Valladolid,Spain
11296,Óscar Plano Pedreño,,10,Real Valladolid,Spain
11297,Javier Moyano Lujano,,17,Real Valladolid,Spain
11298,José Ignacio Martínez García,,22,Real Valladolid,Spain
11300,Rubén Alcaraz Jiménez,,14,Real Valladolid,Spain
11301,Miguel Alfonso Herrero Javaloyas,,21,Real Valladolid,Spain
11302,Jordi Masip López,,1,Real Valladolid,Spain
11303,Anuar Mohamed Tuhami,,23,Real Valladolid,Morocco
11304,Francisco José Olivas Alba,,4,Real Valladolid,Spain
18164,Antonio Jesús Regal Angulo,,18,Real Valladolid,Spain
30519,Mohamed Salisu,,28,Real Valladolid,Ghana
41126,Samuel Pérez Fariña,,26,Real Valladolid,Spain
6734,Luis Carlos Correia Pinto,,16,Huesca,Portugal
6788,Xabier Etxeita Gorritxategi,,3,Huesca,Spain
6857,Rúben Afonso Borges Semedo,,4,Huesca,Portugal
9747,Axel Werner,,1,Huesca,Argentina
11669,Gonzalo Julián Melero Manzanares,,8,Huesca,Spain
11670,David Ferreiro Quiroga,,7,Huesca,Spain
11671,Juan Camilo Hernández Suárez,,9,Huesca,Colombia
11672,Samuele Longo,,12,Huesca,Italy
11673,Alejandro Gallar Falguera,,11,Huesca,Spain
11674,Damián Marcelo Musto,,23,Huesca,Argentina
11675,Moisés Gómez Bordonado,,6,Huesca,Spain
11676,Jorge Miramón Santagertrudis,,24,Huesca,Spain
11677,Jorge Pulido Mayoral,,14,Huesca,Spain
11678,Luis Ezequiel Ávila,,19,Huesca,Argentina
12554,Serdar Gürler,,21,Huesca,Turkey
19396,Lluis Sastre Reus,,22,Huesca,Spain
21399,Pablo Ínsua Blanco,,18,Huesca,Spain
22332,Roberto Santamaría Cipriain,,13,Huesca,Spain
3042,Mikel Merino Zazón,,8,Real Sociedad,Spain
5573,Héctor Alfredo Moreno Herrera,,6,Real Sociedad,Mexico
6605,Joseba Zaldúa Bengoetxea,,2,Real Sociedad,Spain
6669,David Zurutuza Veillet,,17,Real Sociedad,Spain
6670,Andoni Gorosabel Espinosa,,18,Real Sociedad,Spain
6671,Asier Illarramendi Andonegi,,4,Real Sociedad,Spain
6676,Igor Zubeldia Elorza,,5,Real Sociedad,Spain
6679,Aritz Elustondo Irribaria,,15,Real Sociedad,Spain
6685,Mikel Oyarzabal Ugarte,,10,Real Sociedad,Spain
6693,Raúl Rodríguez Navas,,22,Real Sociedad,Spain
6694,Gerónimo Rulli,,1,Real Sociedad,Argentina
6695,Juan Miguel Jiménez López,,7,Real Sociedad,Spain
6704,Theo Bernard François Hernández,,19,Real Sociedad,France
6885,Kévin Manuel Rodrigues,,20,Real Sociedad,Portugal
6899,Rubén Pardo Gutiérrez,,14,Real Sociedad,Spain
6906,Jon Bautista Orgilles,,21,Real Sociedad,Spain
7069,Miguel Ángel Moyà Rumbo,,13,Real Sociedad,Spain
16210,Luca Sangalli Fuentes,,23,Real Sociedad,Spain
6332,Thomas Vermaelen,,24,Barcelona,Belgium
6609,Denis Suárez Fernández,,6,Barcelona,Spain
6351,Cristhian Ricardo Stuani Curbelo,,7,Girona,Uruguay
6560,Marc Muniesa Martínez,,20,Girona,Spain
6565,Pere Pons Riera,,8,Girona,Spain
6567,Borja García Freire,,10,Girona,Spain
6570,Alejandro Granell Nogué,,6,Girona,Spain
6572,Juan Pedro Ramírez López,,15,Girona,Spain
6573,Bernardo José Espinosa Zúñiga,,2,Girona,Colombia
6574,Douglas Luiz Soares de Paulo,,12,Girona,Brazil
6576,Gorka Iraizoz Moreno,,1,Girona,Spain
6578,Francesc Aday Benítez Caraballo,,11,Girona,Spain
6579,Pedro Alcalá Guirado,,5,Girona,Spain
6582,Cristian Portugués Manzanera,,9,Girona,Spain
6785,Yassine Bounou,,13,Girona,Morocco
6888,Aleix García Serrano,,23,Girona,Spain
11292,Pedro Antonio Porro Sauceda,,29,Girona,Spain
11295,Patrick Roberts,,17,Girona,England
17276,Seydou Doumbia,,22,Girona,Côte d'Ivoire
34694,Èric Montes Arce,,28,Girona,Spain
3246,Guido Marcelo Carrillo,,9,Leganés,Argentina
3991,Allan Romeo Nyom,,12,Leganés,Cameroon
6301,Youssef En-Nesyri,,26,Leganés,Morocco
6598,Unai Bustinza Martínez,,3,Leganés,Spain
6599,Rubén Salvador Pérez Del Mármol,,21,Leganés,Spain
6601,Raúl García Carnero,,14,Leganés,Spain
6608,Nabil El Zhar,,10,Leganés,Morocco
6610,Iván Cuéllar Sacristán,,1,Leganés,Spain
6666,Sabin Merino Zuloaga,,18,Leganés,Spain
6667,Mikel Vesga Arruti,,23,Leganés,Spain
6738,Juan Francisco Moreno Fuertes,,2,Leganés,Spain
6739,Diego Alejandro Rolan Silva,,4,Leganés,Uruguay
6834,Gerard Gumbau Garriga,,6,Leganés,Spain
9879,Jon Ander Serantes Simon,,13,Leganés,Spain
11730,Jonathan Cristian Silva,,5,Leganés,Argentina
11745,Michael Nicolás Santos Rosadilla,,20,Leganés,Uruguay
16212,Óscar Rodríguez Arnaiz,,27,Leganés,Spain
17818,Rodrigo Tarín Higón,,28,Leganés,Spain
3023,Yuri Berchiche Izeta,,12,Athletic Club,Spain
6389,Mikel San José Domínguez,,6,Athletic Club,Spain
6390,Markel Susaeta Laskurain,,14,Athletic Club,Spain
6391,Raúl García Escudero,,22,Athletic Club,Spain
6393,Iñaki Williams Arthuer,,9,Athletic Club,Ghana
6394,Aritz Aduriz Zubeldia,,20,Athletic Club,Spain
6396,Beñat Etxebarria Urkiaga,,7,Athletic Club,Spain
6649,Óscar de Marcos Arana,,18,Athletic Club,Spain
6665,Íñigo Martínez Berridi,,4,Athletic Club,Spain
6699,Ander Capa Rodríguez,,21,Athletic Club,Spain
6775,Daniel García Carrillo,,16,Athletic Club,Spain
6789,Mikel Balenziaga Oruesagasti,,24,Athletic Club,Spain
6842,Iker Muniain Goñi,,10,Athletic Club,Spain
6877,Yeray Álvarez López,,5,Athletic Club,Spain
11744,Peru Nolaskoain Esnal,,31,Athletic Club,Spain
11746,Unai López Cabrera,,23,Athletic Club,Spain
11748,Unai Simón Mendibil,,25,Athletic Club,Spain
349946,Hodei Oleaga Alarcia,,26,Athletic Club,Spain
3437,Francis Joseph Coquelin,,17,Valencia,France
3457,Michy Batshuayi Tunga,,23,Valencia,Belgium
4367,Gonçalo Manuel Ganchinho Guedes,,7,Valencia,Portugal
5186,Denis Cheryshev,,11,Valencia,Russia
5718,Rodrigo Moreno Machado,,19,Valencia,Spain
6401,Kevin Gameiro,,9,Valencia,France
6583,Carlos Soler Barragán,,8,Valencia,Spain
6585,Jeison Fabián Murillo Cerón,,4,Valencia,Colombia
6587,Antonio Latorre Grueso,,15,Valencia,Spain
6589,Geoffrey Kondogbia,,6,Valencia,Central African Republic
6590,Norberto Murara Neto,,13,Valencia,Brazil
6595,Daniel Parejo Muñoz,,10,Valencia,Spain
6596,José Luis Gayà Peña,,14,Valencia,Spain
6746,Gabriel Armando de Abreu,,5,Valencia,Brazil
6797,Daniel Wass,,18,Valencia,Denmark
6891,Ezequiel Marcelo Garay,,24,Valencia,Argentina
6898,Jaume Doménech Sánchez,,1,Valencia,Spain
11634,Cristiano Piccini,,21,Valencia,Italy
41407,Juan Brandariz Movilla,,36,Barcelona,Spain
3610,Roque Mesa Quevedo,,7,Sevilla,Spain
5218,André Miguel Valente Silva,,12,Sevilla,Portugal
5504,Éver Maximiliano David Banega,,10,Sevilla,Argentina
5534,Simon Thorup Kjær,,4,Sevilla,Denmark
5742,Gabriel Iván Mercado,,25,Sevilla,Argentina
6334,Luis Fernando Muriel Fruto,,14,Sevilla,Colombia
6400,Aleix Vidal Parreu,,11,Sevilla,Spain
6719,Franco Damián Vázquez,,22,Sevilla,Argentina
6720,Pablo Sarabia García,,17,Sevilla,Spain
6723,Wissam Ben Yedder,,9,Sevilla,France
6724,Manuel Agudo Durán,,8,Sevilla,Spain
6804,Sergi Gómez Solà,,3,Sevilla,Spain
6821,Jesús Navas González,,16,Sevilla,Spain
6825,Daniel Filipe Martins Carriço,,6,Sevilla,Portugal
6919,Guilherme Antonio Arana Lopes,,23,Sevilla,Brazil
11541,Tomáš Vaclík,,1,Sevilla,Czech Republic
13360,Quincy Anton Promes,,21,Sevilla,Netherlands
23921,Juan Soriano Oropesa,,13,Sevilla,Spain
13599,Carles Aleña Castillo,,26,Barcelona,Spain
3313,Giovani Lo Celso,,21,Real Betis,Argentina
5214,William Silva de Carvalho,,14,Real Betis,Portugal
5563,José Andrés Guardado Hernández,,18,Real Betis,Mexico
5687,Takashi Inui,,8,Real Betis,Japan
6647,Zouhair Feddal,,4,Real Betis,Morocco
6648,Aïssa Mandi,,23,Real Betis,Algeria
6651,Joaquín Sánchez Rodríguez,,17,Real Betis,Spain
6657,Sergio León Limones,,7,Real Betis,Spain
6658,Cristian Tello Herrera,,11,Real Betis,Spain
6663,Antonio Barragán Fernández,,19,Real Betis,Spain
6673,Sergio Canales Madrazo,,6,Real Betis,Spain
6777,Sidnei Rechel da Silva Júnior,,12,Real Betis,Brazil
6792,Pau López Sabata,,13,Real Betis,Spain
6880,Arnaldo Antonio Sanabria Ayala,,9,Real Betis,Paraguay
7068,Marc Bartra Aregall,,5,Real Betis,Spain
7910,Lorenzo Jesús Morón García,,16,Real Betis,Spain
16309,Joel Robles Blázquez,,1,Real Betis,Spain
17304,Héctor Junior Firpo Adames,,20,Real Betis,Spain
3245,Thomas Lemar,,11,Atlético Madrid,France
5198,Diego da Silva Costa,,19,Atlético Madrid,Spain
5199,Jorge Resurrección Merodio,,6,Atlético Madrid,Spain
5484,Lucas Hernández Pi,,21,Atlético Madrid,France
5487,Antoine Griezmann,,7,Atlético Madrid,France
5696,Santiago Arias Naranjo,,4,Atlético Madrid,Colombia
5723,Gelson Dany Batalha Martins,,18,Atlético Madrid,Portugal
6320,Filipe Luís Kasmirski,,3,Atlético Madrid,Brazil
6376,Stefan Savić,,15,Atlético Madrid,Montenegro
6377,Ángel Martín Correa,,10,Atlético Madrid,Argentina
6378,Jan Oblak,,13,Atlético Madrid,Slovenia
6381,Saúl Ñíguez Esclapez,,8,Atlético Madrid,Spain
6383,Thomas Teye Partey,,5,Atlético Madrid,Ghana
6654,Antonio Adán Garrido,,1,Atlético Madrid,Spain
6765,Rodrigo Hernández Cascante,,14,Atlético Madrid,Spain
6841,Víctor Machín Pérez,,23,Atlético Madrid,Spain
7033,Nikola Kalinić,,9,Atlético Madrid,Croatia
8136,Antonio Moya Vega,,43,Atlético Madrid,Spain
22197,Juan Miranda González,,27,Barcelona,Spain
37237,Ignacio Peña Sotorres,,30,Barcelona,Spain
3551,Karl Brillant Toko Ekambi,,17,Villarreal,Cameroon
4629,José Ramiro Funes Mori,,4,Villarreal,Argentina
5688,Carlos Arturo Bacca Ahumada,,9,Villarreal,Colombia
6737,Alfonso Pedraza Sag,,16,Villarreal,Spain
6752,Víctor Ruíz Torre,,6,Villarreal,Spain
6753,Daniel Raba Antolín,,22,Villarreal,Spain
6755,Sergio Asenjo Andrés,,1,Villarreal,Spain
