Position ID,Position Name
15,Left Center Midfield
2,Right Back
21,Left Wing
9,Right Defensive Midfield
10,Center Defensive Midfield
6,Left Back
3,Right Center Back
22,Right Center Forward
23,Center Forward
11,Left Defensive Midfield
13,Right Center Midfield
16,Left Midfield
5,Left Center Back
24,Left Center Forward
17,Right Wing
12,Right Midfield
1,Goalkeeper
19,Center Attacking Midfield
8,Left Wing Back
4,Center Back
7,Right Wing Back
20,Left Attacking Midfield
14,Center Midfield
18,Right Attacking Midfield
44,Set
43,Prone
42,Moving
0,Substitute
