Stadium ID,Stadium Name,Stadium Country
5043,Reale Arena,Spain
355,Estadio Municipal de Butarque,Spain
342,Spotify Camp Nou,Spain
4654,	Estádio Cívitas Metropolitano,Spain
351,RCDE Stadium,Spain
349,Estadio Ramón Sánchez Pizjuán,Spain
354,Coliseum Alfonso Pérez,Spain
352,Estadio Benito Villamarín,Spain
345,San Mamés Barria,Spain
343,Estadi Municipal de Montilivi,Spain
348,Estadio de Mendizorroza,Spain
347,Estadio Municipal de Ipurúa,Spain
350,Estadio Ciudad de Valencia,Spain
361,Estadio de la Cerámica,Spain
344,Estadio de Mestalla,Spain
353,Estadio Santiago Bernabéu,Spain
622,Estadio Municipal José Zorrilla,Spain
653,Abanca-Balaídos,Spain
4454,Estadi Mallorca Son Moix,Spain
4667,Estadio Nuevo Los Cármenes,Spain
4650,Estadio El Sadar,Spain
5341,Estadio Alfredo Di Stéfano,Spain
624,Estadio El Alcoraz,Spain
4662,Estadio Nuevo Mirandilla,Spain
217,Molineux Stadium,England
1000243,Highbury Stadium,England
214,Riverside Stadium ,England
213,Elland Road ,England
6,Anfield ,England
22,Ewood Park ,England
211,Villa Park,England
2,Old Trafford,England
4715,Etihad Stadium,England
10,Stamford Bridge,England
99148,White Hart Lane,England
4591,St. Mary''s Stadium,England
4500,St. Andrews Stadium,England
4843,University of Bolton Stadium,England
4844,Loftus Road,England
31,The Valley,England
4674,St. James'' Park,England
