player_name,num_shots_top
Lionel Andrés Messi Cuccittini,32
Antoine Griezmann,5
Gerard Piqué Bernabéu,4
Clément Lenglet,3
Ousmane Dembélé,3
Luis Alberto Suárez Díaz,3
Lorenzo Jesús Morón García,2
Jordi Alba Ramos,2
Arturo Erasmo Vidal Pardo,2
Philippe Coutinho Correia,2
Diego da Silva Costa,1
Ezequiel Marcelo Garay,1
Federico Santiago Valverde Dipetta,1
Francisco António Machado Mota de Castro Trincão,1
Gerard Moreno Balaguero,1
Ivan Rakitić,1
Jorge Molina Vidal,1
Martin Braithwaite Christensen,1
Maximiliano Gómez González,1
Moriba Kourouma Kourouma,1
Óscar Rodríguez Arnaiz,1
Pablo Ezequiel De Blasis,1
Pedro González López,1
Ramon Olamilekan Azeez,1
Roberto Torres Morales,1
Ronald Federico Araújo da Silva,1
Álvaro Giménez Candela,1
Youssef En-Nesyri,1
Ander Barrenetxea Muguruza,1
Anssumane Fati,1
Ante Budimir,1
Arnaldo Antonio Sanabria Ayala,1
Arthur Henrique Ramos de Oliveira Melo,1
Carlos Soler Barragán,1
Cristhian Ricardo Stuani Curbelo,1
Daniel Parejo Muñoz,1
David López Silva,1
